treatment,temp,date,shape,rep,diameter (a),single_cell_vol_um^3,plate_well,well
C,25,2026-01-31,sphere,1,7.06,184.1588104,jan31_A1,A1
C,25,2026-01-31,sphere,2,5.72,97.94143979,jan31_A1,A1
C,25,2026-01-31,sphere,3,6.16,122.3264956,jan31_A1,A1
C,25,2026-01-31,sphere,4,6.14,121.138868,jan31_A1,A1
C,25,2026-01-31,sphere,5,5.42,83.32517939,jan31_A1,A1
C,25,2026-01-31,sphere,6,5.7,96.91767,jan31_A1,A1
C,25,2026-01-31,sphere,7,6.29,130.2357856,jan31_A1,A1
C,25,2026-01-31,sphere,8,5.21,74.01019826,jan31_A1,A1
C,25,2026-01-31,sphere,9,5.47,85.6525657,jan31_A1,A1
C,25,2026-01-31,sphere,10,6.27,128.9974188,jan31_A2,A2
C,25,2026-01-31,sphere,11,5.81,102.6376725,jan31_A2,A2
C,25,2026-01-31,sphere,12,6.07,117.0427375,jan31_A2,A2
C,25,2026-01-31,sphere,13,6.08,117.6221559,jan31_A2,A2
C,25,2026-01-31,sphere,14,5.74,98.97239389,jan31_A2,A2
C,25,2026-01-31,sphere,15,6,113.04,jan31_A2,A2
C,25,2026-01-31,sphere,16,5.38,81.49392301,jan31_A2,A2
C,25,2026-01-31,sphere,17,5.89,106.9360854,jan31_A2,A2
C,25,2026-01-31,sphere,18,5.59,91.41423334,jan31_A2,A2
C,25,2026-01-31,sphere,19,7.27,201.0859051,jan31_A3,A3
C,25,2026-01-31,sphere,20,5.88,106.3923437,jan31_A3,A3
C,25,2026-01-31,sphere,21,6.86,168.9471013,jan31_A3,A3
C,25,2026-01-31,sphere,22,6.05,115.8896154,jan31_A3,A3
C,25,2026-01-31,sphere,23,6.42,138.4788607,jan31_A3,A3
C,25,2026-01-31,sphere,24,5.9,107.4816767,jan31_A3,A3
C,25,2026-01-31,sphere,25,6.36,134.6324486,jan31_A3,A3
C,25,2026-01-31,sphere,26,6.99,178.7351318,jan31_A3,A3
C,25,2026-01-31,sphere,27,7.9,258.0237433,jan31_A3,A3
C,25,2026-01-31,sphere,28,6.21,125.3294686,jan31_A4,A4
C,25,2026-01-31,sphere,29,5.66,94.89158291,jan31_A4,A4
C,25,2026-01-31,sphere,30,6.42,138.4788607,jan31_A4,A4
C,25,2026-01-31,sphere,31,5.74,98.97239389,jan31_A4,A4
C,25,2026-01-31,sphere,32,4.88,60.81880235,jan31_A4,A4
C,25,2026-01-31,sphere,33,5.17,72.3186028,jan31_A4,A4
C,25,2026-01-31,sphere,34,6.61,151.1411687,jan31_A4,A4
C,25,2026-01-31,sphere,35,6.14,121.138868,jan31_A4,A4
C,25,2026-01-31,sphere,36,5.33,79.2428387,jan31_A4,A4
C,25,2026-01-31,sphere,37,6.04,115.3159055,jan31_A5,A5
