exp_date,temp,treatment,mean_lipid,sd_lipid
2026-01-31,25,C,801.8571428571429,229.77193661790568
2026-01-31,25,F,722.9047619047619,190.34955314093168
2026-01-31,25,I,791.7619047619047,475.9127571109566
2026-01-31,25,J,1459.3333333333333,294.58501885420674
2026-02-03,25,A,564.2857142857143,114.92564884265288
2026-02-03,25,B,400.57142857142856,51.97710118522432
2026-02-03,25,C,303.7142857142857,27.974478164416734
2026-02-03,25,D,292.14285714285717,35.16356339275345
2026-02-03,25,E,407.7142857142857,38.58632869171103
2026-02-03,25,F,302,31.458967984768137
2026-02-03,25,G,340.2857142857143,32.30951503666933
2026-02-03,25,H,328.57142857142856,22.962702678163
2026-02-03,25,I,321.85714285714283,129.16711213440848
2026-02-03,25,J,368.2857142857143,58.9963679269447
2026-02-03,25,K,322,41.84495190581536
2026-02-03,25,L,232.14285714285714,17.18942088833101
2026-02-06,6.72,A,370.57142857142856,144.8744941237727
2026-02-06,6.72,B,275.2857142857143,67.51472502527204
2026-02-06,6.72,C,271.42857142857144,34.88006662291584
2026-02-06,6.72,D,372.7142857142857,147.95124679627216
2026-02-06,6.72,E,250.42857142857142,22.11980366743146
2026-02-06,6.72,F,235.85714285714286,31.9240169330687
2026-02-06,6.72,G,249.42857142857142,84.98599324370485
2026-02-06,6.72,H,249,18.092355660149213
2026-02-06,6.72,I,221.42857142857142,21.21993671728816
2026-02-06,6.72,J,228.14285714285714,20.987524639084775
2026-02-06,6.72,K,191.28571428571428,59.68169536721257
2026-02-06,6.72,L,235.57142857142858,73.42310522548321
2026-02-06,18.44,A,237.42857142857142,47.10575740769254
2026-02-06,18.44,B,470.7142857142857,260.1408043641714
2026-02-06,18.44,C,459.2857142857143,97.5084855892284
2026-02-06,18.44,D,251.42857142857142,41.270882160255724
2026-02-06,18.44,E,410,161.36604351597643
2026-02-06,18.44,F,321.57142857142856,78.35784824095403
2026-02-06,18.44,G,311.42857142857144,40.38092430367398
2026-02-06,18.44,H,391,44.33208018279013
2026-02-06,18.44,I,458.2857142857143,35.724474737049604
2026-02-06,18.44,J,279.2857142857143,34.95098608868466
2026-02-06,18.44,K,316,129.22074136917803
2026-02-06,18.44,L,582.2857142857143,114.68466082511397
2026-02-06,24,A,586.1428571428571,195.5517225454079
2026-02-06,24,B,792.5714285714286,270.04990720411735
2026-02-06,24,C,365,96.89513231667867
2026-02-06,24,D,653.5714285714286,543.97759057485
2026-02-06,24,E,743.5714285714287,780.3398527015557
2026-02-06,24,F,493.57142857142856,256.835782257105
2026-02-06,24,G,347.2857142857143,120.69757562563036
2026-02-06,24,H,497.14285714285717,378.6922358905838
2026-02-06,24,I,315.42857142857144,106.13176895233765
2026-02-06,24,J,469,552.8547126807669
2026-02-06,24,K,660.2857142857143,716.8397576134
2026-02-06,24,L,764.2857142857143,1213.135292576734
2026-02-06,29.82,A,2020,3415.8369399021376
2026-02-06,29.82,B,842.2857142857143,556.3924616927978
2026-02-06,29.82,C,631.4285714285714,467.6059085536513
2026-02-06,29.82,D,454,171.65760493882388
2026-02-06,29.82,E,935.1428571428571,637.2334550150958
2026-02-06,29.82,F,662.1428571428571,220.3621478168975
2026-02-06,29.82,G,438.14285714285717,154.44246886940195
2026-02-06,29.82,H,435.2857142857143,175.5835169615059
2026-02-06,29.82,I,428.57142857142856,145.1709993339546
2026-02-06,29.82,J,395.85714285714283,120.90826904645324
2026-02-06,29.82,K,731.2857142857143,480.12766159488393
2026-02-06,29.82,L,606.4285714285714,308.00262831284255
2026-02-06,36.49,A,424.42857142857144,182.0035321478287
2026-02-06,36.49,B,321.2857142857143,183.99611797147088
2026-02-06,36.49,C,895.8571428571429,993.0979187323253
2026-02-06,36.49,D,435.2857142857143,207.07946484841216
2026-02-06,36.49,E,482.57142857142856,364.1642748096236
2026-02-06,36.49,F,660.5714285714286,465.37148499625437
2026-02-06,36.49,G,393.14285714285717,335.9262957710757
2026-02-06,36.49,H,276.2857142857143,93.46606208621802
2026-02-06,36.49,I,308.14285714285717,40.482212437186824
2026-02-06,36.49,J,367.14285714285717,345.51817538851634
2026-02-06,36.49,K,203.28571428571428,63.226350745329505
2026-02-06,36.49,L,259.57142857142856,43.48508228062103
2026-02-06,38.74,A,231.14285714285714,87.49748295699439
2026-02-06,38.74,B,269,147.20846895927332
2026-02-06,38.74,C,237,11.86029791643813
2026-02-06,38.74,D,217.85714285714286,21.705825419524068
2026-02-06,38.74,E,206.14285714285714,14.735767952260144
2026-02-06,38.74,F,217.28571428571428,21.906728690171015
2026-02-06,38.74,G,178.71428571428572,87.21948231466462
2026-02-06,38.74,H,241.28571428571428,23.464258534448273
2026-02-06,38.74,I,215,35.64173583501978
2026-02-06,38.74,J,218.42857142857142,15.009520788010333
2026-02-06,38.74,K,210.14285714285714,73.6555690843731
2026-02-06,38.74,L,192.85714285714286,39.92254405482601
2026-02-06,41.1,A,297.7142857142857,35.57487074567424
2026-02-06,41.1,B,257.7142857142857,60.76653214205521
2026-02-06,41.1,C,239.14285714285714,14.735767952260145
2026-02-06,41.1,D,257.2857142857143,18.26393792618198
2026-02-06,41.1,E,257,32.28518752204071
2026-02-06,41.1,F,243.71428571428572,44.236916279333514
2026-02-06,41.1,G,276.14285714285717,34.25117307688683
2026-02-06,41.1,H,252,13.203534880225574
2026-02-06,41.1,I,204.57142857142858,94.97342986831833
2026-02-06,41.1,J,273.2857142857143,25.86319318848239
2026-02-06,41.1,K,219.71428571428572,65.32920297925547
2026-02-06,41.1,L,267.42857142857144,90.55910987279181
